农学,090101
 港口航道与海岸工程	, 080803
 水资源与海洋工程	 ,080805
 遥感科学与技术	 ,080902
 环境工程	 ,081001
 水质科学与技术	, 081003
 环境科学与工程	, 081005
 雷电防护科学与技术,	 081007
 制药工程	 ,081102
 化学工程与工业生物工程	, 081104
 交通运输	 ,081201
 油气储运工程	, 081203
 航海技术	 ,081205
 物流工程	, 081207
 交通设备信息工程	, 081209
 船舶与海洋工程	, 081251
 轻化工程	, 081402
 印刷工程	, 081404
 服装设计与工程	, 081406
 酿酒工程,	 081408
 轻工生物技术	, 081410
 非织造材料与工程	, 081412
 植物资源工程	 ,081414
 飞行器设计与工程,	 081501
 飞行器制造工程,	 081503
 航空航天工程	, 081505
 航天运输与控制,	 081507
 武器系统与发射工程,	 081601
 弹药工程与爆炸技术,	 081603
 地面武器机动工程	, 081605
 武器系统与工程	, 081607
 工程结构分析	, 081702
 农业机械化及其自动化,	 081901
 农业建筑环境与能源工程,	 081903
 农业工程	 ,081905
 森林工程	 ,082001
 林产化工	 ,082003
 消防工程	 ,082102
 交通管理工程,	 082104
 公安视听技术	, 082106
 经济学	, 020101
 财政学	, 020103
 国民经济管理	, 020105
 保险	, 020107
 金融工程	, 020109
 信用管理	 ,020111
 体育经济	, 020113
 环境资源与发展经济学	, 020115
 国际文化贸易	, 020117
 金融数学	 ,020119
 国际经济与贸易	, 020102
 金融学	, 020104
 贸易经济	, 020106
 环境经济	, 020108
 税务	, 020110
 网络经济学,	 020112
 投资学	 ,020114
 海洋经济学,	 020116
 商务经济学,	 020118
 基础医学	 ,100101
 卫生检验	 ,100202
 营养学	 ,100204
 麻醉学	 ,100252
 医学检验	 ,100254
 眼视光学	 ,100306
 精神医学	 ,100308
 听力学	 ,100310
 医学美容技术,	 100312
 口腔修复工艺学,	 100402
 针灸推拿学	 ,100502
 藏医学	, 100504
 维医学	, 100506
 护理学	, 100701
 中药学	, 100802
 中草药栽培与鉴定	, 100804
 中药资源与开发	, 100806
 海洋药学	 ,100809
 蒙药学	 ,100811
 预防医学	 ,100201
 妇幼保健医学,	 100203
 临床医学	 ,100251
 医学影像学	, 100253
 放射医学	, 100305
 康复治疗学,	 100307
 医学技术	 ,100309
 医学实验学,	 100311
 口腔医学	 ,100401
 中医学	 ,100501
 蒙医学	 ,100503
 中西医临床医学	, 100505
 法医学	 ,100601
 药学	 ,100801
 药物制剂	 ,100803
 藏药学	 ,100805
 应用药学	 ,100807
 药事管理	 ,100810
 数学与应用数学	, 070101
 数理基础科学	, 070103
 应用物理学	, 070202
 核物理	 ,070204
 应用化学	, 070252
 分子科学与工程	, 070304
 生物技术	 ,070402
 生物信息技术	, 070404
 动植物检疫	, 070406
 医学信息学	, 070408
 动物生物技术	, 070410
